step,max_steps,epoch,loss,eval_loss,token_acc,eval_token_acc,learning_rate
5,140,0.1802,0.6923,,0.8024,,3.571e-05
10,140,0.3604,0.6669,,0.8022,,4.994e-05
15,140,0.5405,0.6543,,0.8072,,4.955e-05
20,140,0.7207,0.5948,,0.8205,,4.883e-05
25,140,0.9009,0.6275,,0.8125,,4.777e-05
35,140,1.252,0.5466,,0.8305,,4.473e-05
40,140,1.432,0.5746,,0.8241,,4.278e-05
45,140,1.613,0.5502,,0.8301,,4.059e-05
50,140,1.793,0.5405,,0.8334,,3.818e-05
55,140,1.973,0.5409,,0.835,,3.558e-05
65,140,2.324,0.4958,,0.8442,,2.999e-05
70,140,2.505,0.5086,,0.8401,,2.706e-05
75,140,2.685,0.5005,,0.843,,2.411e-05
80,140,2.865,0.4861,,0.8473,,2.118e-05
90,140,3.216,0.4628,,0.852,,1.55e-05
95,140,3.396,0.4647,,0.8529,,1.284e-05
100,140,3.577,0.4614,,0.8539,,1.035e-05
105,140,3.757,0.4598,,0.8526,,8.07e-06
110,140,3.937,0.4493,,0.8572,,6.02e-06
120,140,4.288,0.4357,,0.8589,,2.74e-06
125,140,4.468,0.451,,0.8555,,1.55e-06
130,140,4.649,0.4328,,0.8622,,6.9e-07
135,140,4.829,0.4479,,0.857,,1.7e-07
140,140,5.0,0.4486,,0.8556,,0.0
140,140,5.0,,0.5915,,0.8248,
140,140,5.0,,,,,
