ID,base,ckpt140,ckpt75,delta_75_vs_base,delta_140_vs_base
29,9.3333,2.3333,8.6667,-0.666599999999999,-7.0
35,9.3333,7.3333,6.6667,-2.6666,-1.9999999999999991
47,8.6667,7.0,8.0,-0.6667000000000005,-1.6667000000000005
45,6.6667,5.0,6.6667,0.0,-1.6666999999999996
25,8.6667,7.3333,8.3333,-0.33340000000000103,-1.3334000000000001
4,8.6667,7.3333,7.6667,-1.0000000000000009,-1.3334000000000001
15,8.6667,7.6667,7.6667,-1.0000000000000009,-1.0000000000000009
19,8.6667,7.6667,1.3333,-7.333400000000001,-1.0000000000000009
5,8.6667,7.6667,7.6667,-1.0000000000000009,-1.0000000000000009
40,8.6667,7.6667,7.6667,-1.0000000000000009,-1.0000000000000009
