ID,model,score
1,base,8.0
2,base,8.3333
3,base,9.0
4,base,8.6667
5,base,8.6667
6,base,8.3333
7,base,6.6667
8,base,5.0
9,base,7.6667
10,base,7.3333
11,base,2.0
12,base,7.6667
13,base,6.0
14,base,8.0
15,base,8.6667
16,base,8.0
17,base,7.6667
18,base,7.3333
19,base,8.6667
20,base,7.6667
21,base,7.6667
22,base,7.6667
23,base,7.6667
24,base,8.0
25,base,8.6667
26,base,7.6667
27,base,8.3333
28,base,5.0
29,base,9.3333
30,base,6.3333
31,base,5.3333
32,base,7.6667
33,base,9.0
34,base,8.0
35,base,9.3333
36,base,6.3333
37,base,5.6667
38,base,7.6667
39,base,6.6667
40,base,8.6667
41,base,7.6667
42,base,7.0
44,base,6.6667
45,base,6.6667
46,base,6.3333
47,base,8.6667
1,ckpt75,9.3333
2,ckpt75,9.0
3,ckpt75,9.3333
4,ckpt75,7.6667
5,ckpt75,7.6667
6,ckpt75,7.6667
7,ckpt75,8.6667
8,ckpt75,4.6667
9,ckpt75,8.6667
10,ckpt75,7.6667
11,ckpt75,7.6667
12,ckpt75,9.0
13,ckpt75,8.0
14,ckpt75,8.0
15,ckpt75,7.6667
16,ckpt75,7.6667
17,ckpt75,8.6667
18,ckpt75,8.3333
19,ckpt75,1.3333
20,ckpt75,9.0
21,ckpt75,8.3333
22,ckpt75,8.6667
23,ckpt75,8.6667
24,ckpt75,8.0
25,ckpt75,8.3333
26,ckpt75,8.6667
27,ckpt75,8.6667
28,ckpt75,4.6667
29,ckpt75,8.6667
30,ckpt75,8.0
31,ckpt75,8.6667
32,ckpt75,8.6667
33,ckpt75,9.3333
34,ckpt75,9.0
35,ckpt75,6.6667
36,ckpt75,7.6667
37,ckpt75,7.6667
38,ckpt75,8.6667
39,ckpt75,8.0
40,ckpt75,7.6667
41,ckpt75,8.3333
42,ckpt75,8.3333
44,ckpt75,2.3333
45,ckpt75,6.6667
46,ckpt75,8.0
47,ckpt75,8.0
1,ckpt140,8.3333
2,ckpt140,8.3333
3,ckpt140,8.3333
4,ckpt140,7.3333
5,ckpt140,7.6667
6,ckpt140,8.6667
7,ckpt140,9.3333
8,ckpt140,8.6667
9,ckpt140,8.3333
10,ckpt140,8.6667
11,ckpt140,8.6667
12,ckpt140,8.0
13,ckpt140,7.6667
14,ckpt140,8.6667
15,ckpt140,7.6667
16,ckpt140,9.0
17,ckpt140,7.6667
18,ckpt140,8.0
19,ckpt140,7.6667
20,ckpt140,9.0
21,ckpt140,9.0
22,ckpt140,8.3333
23,ckpt140,8.3333
24,ckpt140,8.3333
25,ckpt140,7.3333
26,ckpt140,7.3333
27,ckpt140,8.0
28,ckpt140,8.6667
29,ckpt140,2.3333
30,ckpt140,8.3333
31,ckpt140,6.3333
32,ckpt140,8.3333
33,ckpt140,9.0
34,ckpt140,8.0
35,ckpt140,7.3333
36,ckpt140,8.3333
37,ckpt140,9.0
38,ckpt140,8.3333
39,ckpt140,8.6667
40,ckpt140,7.6667
41,ckpt140,7.3333
42,ckpt140,8.6667
44,ckpt140,8.6667
45,ckpt140,5.0
46,ckpt140,7.3333
47,ckpt140,7.0
