ID,base,ckpt140,ckpt75
1,8.0,8.3333,9.3333
2,8.3333,8.3333,9.0
3,9.0,8.3333,9.3333
4,8.6667,7.3333,7.6667
5,8.6667,7.6667,7.6667
6,8.3333,8.6667,7.6667
7,6.6667,9.3333,8.6667
8,5.0,8.6667,4.6667
9,7.6667,8.3333,8.6667
10,7.3333,8.6667,7.6667
11,2.0,8.6667,7.6667
12,7.6667,8.0,9.0
13,6.0,7.6667,8.0
14,8.0,8.6667,8.0
15,8.6667,7.6667,7.6667
16,8.0,9.0,7.6667
17,7.6667,7.6667,8.6667
18,7.3333,8.0,8.3333
19,8.6667,7.6667,1.3333
20,7.6667,9.0,9.0
21,7.6667,9.0,8.3333
22,7.6667,8.3333,8.6667
23,7.6667,8.3333,8.6667
24,8.0,8.3333,8.0
25,8.6667,7.3333,8.3333
26,7.6667,7.3333,8.6667
27,8.3333,8.0,8.6667
28,5.0,8.6667,4.6667
29,9.3333,2.3333,8.6667
30,6.3333,8.3333,8.0
31,5.3333,6.3333,8.6667
32,7.6667,8.3333,8.6667
33,9.0,9.0,9.3333
34,8.0,8.0,9.0
35,9.3333,7.3333,6.6667
36,6.3333,8.3333,7.6667
37,5.6667,9.0,7.6667
38,7.6667,8.3333,8.6667
39,6.6667,8.6667,8.0
40,8.6667,7.6667,7.6667
41,7.6667,7.3333,8.3333
42,7.0,8.6667,8.3333
44,6.6667,8.6667,2.3333
45,6.6667,5.0,6.6667
46,6.3333,7.3333,8.0
47,8.6667,7.0,8.0
