scope,method,path,top_k,num_queries,recall_at_1,recall_at_5,recall_at_10,mrr,map_at_10,latency_mean_ms,latency_std_ms,latency_median_ms
coco,baseline_clip,E:\BiShe\Code2\MyProject\实验数据\检索器\baseline_clip_20260321_132139.json,10,100,0.95,0.98,1.0,0.9667,0.9667,580.1909,291.2331,531.13
coco,baseline_ocr,E:\BiShe\Code2\MyProject\实验数据\检索器\baseline_ocr_20260321_132245.json,10,100,0.01,0.05,0.1,0.0293,0.0293,532.7646,112.1782,502.28
coco,proposed,E:\BiShe\Code2\MyProject\实验数据\检索器\proposed_20260321_131837.json,10,100,0.81,0.98,1.0,0.8844,0.8844,562.0936,136.7224,535.27
commerce_manufacturing,baseline_clip,E:\BiShe\Code2\MyProject\实验数据\检索器\unidoc_commerce_manufacturing_baseline_clip_20260326_200351.json,10,100,0.7058,0.9775,0.99,0.9767,0.9695,500.7954,43.5445,491.87
commerce_manufacturing,baseline_ocr,E:\BiShe\Code2\MyProject\实验数据\检索器\unidoc_commerce_manufacturing_baseline_ocr_20260325_122521.json,10,100,0.0025,0.0167,0.0717,0.0342,0.0342,573.5058,470.3811,370.0
commerce_manufacturing,proposed,E:\BiShe\Code2\MyProject\实验数据\检索器\unidoc_commerce_manufacturing_proposed_20260327_002345.json,10,100,0.6608,0.97,0.98,0.9467,0.9387,409.0763,245.8519,311.61
construction,baseline_clip,E:\BiShe\Code2\MyProject\实验数据\检索器\unidoc_construction_baseline_clip_20260326_195520.json,10,100,0.6959,0.9251,0.9463,0.9417,0.9222,536.33,128.6075,494.41
construction,baseline_ocr,E:\BiShe\Code2\MyProject\实验数据\检索器\unidoc_construction_baseline_ocr_20260325_122317.json,10,100,0.005,0.0295,0.0628,0.0318,0.0318,593.5249,619.4104,367.86
construction,proposed,E:\BiShe\Code2\MyProject\实验数据\检索器\unidoc_construction_proposed_20260326_232742.json,10,100,0.6489,0.9181,0.9515,0.9002,0.8756,488.0216,375.2834,342.44
crm,baseline_clip,E:\BiShe\Code2\MyProject\实验数据\检索器\unidoc_crm_baseline_clip_20260326_193531.json,10,100,0.6288,0.9319,0.9472,0.9262,0.9185,519.0163,128.2239,492.33
crm,baseline_ocr,E:\BiShe\Code2\MyProject\实验数据\检索器\unidoc_crm_baseline_ocr_20260325_122112.json,10,100,0.01,0.0232,0.0648,0.032,0.0327,535.3755,473.6688,333.69
crm,proposed,E:\BiShe\Code2\MyProject\实验数据\检索器\unidoc_crm_proposed_20260326_232356.json,10,100,0.6154,0.9473,0.9768,0.9328,0.919,431.3015,276.5947,316.68
crossdomain,baseline_clip,E:\BiShe\Code2\MyProject\实验数据\检索器\unidoc_crossdomain_baseline_clip_20260327_194736.json,10,800,0.6995,0.9413,0.9623,0.9371,0.9209,312.3425,142.1938,281.94
crossdomain,baseline_ocr,E:\BiShe\Code2\MyProject\实验数据\检索器\unidoc_crossdomain_baseline_ocr_20260327_193551.json,10,800,0.0037,0.0107,0.0182,0.0081,0.0081,708.6349,548.7664,510.55
crossdomain,proposed,E:\BiShe\Code2\MyProject\实验数据\检索器\unidoc_crossdomain_proposed_20260327_200608.json,10,800,0.6726,0.9367,0.9611,0.9158,0.8989,524.9074,478.078,343.19
education,baseline_clip,E:\BiShe\Code2\MyProject\实验数据\检索器\unidoc_education_baseline_clip_20260326_150940.json,10,100,0.8025,0.9917,0.995,0.9717,0.9639,506.7686,49.2356,492.07
education,baseline_ocr,E:\BiShe\Code2\MyProject\实验数据\检索器\unidoc_education_baseline_ocr_20260325_121405.json,10,100,0.01,0.0375,0.1425,0.0387,0.0387,531.7593,504.6898,318.86
education,proposed,E:\BiShe\Code2\MyProject\实验数据\检索器\unidoc_education_proposed_20260326_161728.json,10,100,0.7725,0.995,0.995,0.9583,0.955,570.2337,187.3038,494.53
energy,baseline_clip,E:\BiShe\Code2\MyProject\实验数据\检索器\unidoc_energy_baseline_clip_20260325_112726.json,10,100,0.6892,0.9425,0.98,0.9617,0.9367,275.7769,58.7373,255.94
energy,baseline_ocr,E:\BiShe\Code2\MyProject\实验数据\检索器\unidoc_energy_baseline_ocr_20260325_112424.json,10,100,0.01,0.0283,0.0633,0.0297,0.0311,377.3008,240.7232,311.24
energy,proposed,E:\BiShe\Code2\MyProject\实验数据\检索器\unidoc_energy_proposed_20260326_195512.json,10,100,0.7092,0.98,0.9875,0.9725,0.9589,672.4848,371.8153,499.99
finance,baseline_clip,E:\BiShe\Code2\MyProject\实验数据\检索器\unidoc_finance_baseline_clip_20260324_191755.json,10,100,0.7445,0.9722,0.9833,0.9708,0.957,353.3558,155.5784,310.71
finance,baseline_ocr,E:\BiShe\Code2\MyProject\实验数据\检索器\unidoc_finance_baseline_ocr_20260324_190659.json,10,100,0.02,0.045,0.089,0.0519,0.0523,386.1621,199.9145,314.93
finance,proposed,E:\BiShe\Code2\MyProject\实验数据\检索器\unidoc_finance_proposed_20260326_004208.json,10,100,0.6945,0.9588,0.99,0.9327,0.9125,505.4604,403.0005,319.9
healthcare,baseline_clip,E:\BiShe\Code2\MyProject\实验数据\检索器\unidoc_healthcare_baseline_clip_20260326_163432.json,10,100,0.8133,0.965,0.97,0.95,0.9453,527.4788,99.5105,492.96
healthcare,baseline_ocr,E:\BiShe\Code2\MyProject\实验数据\检索器\unidoc_healthcare_baseline_ocr_20260325_120949.json,10,100,0.02,0.05,0.11,0.0507,0.0507,605.3476,549.8786,367.16
healthcare,proposed,E:\BiShe\Code2\MyProject\实验数据\检索器\unidoc_healthcare_proposed_20260326_172607.json,10,100,0.7833,0.96,0.98,0.934,0.9257,611.6988,276.3324,496.59
legal,baseline_clip,E:\BiShe\Code2\MyProject\实验数据\检索器\unidoc_legal_baseline_clip_20260326_181929.json,10,100,0.7142,0.99,0.9933,0.9537,0.9482,502.234,50.0375,491.97
legal,baseline_ocr,E:\BiShe\Code2\MyProject\实验数据\检索器\unidoc_legal_baseline_ocr_20260325_121157.json,10,100,0.01,0.0558,0.1042,0.038,0.038,698.872,849.3115,359.22
legal,proposed,E:\BiShe\Code2\MyProject\实验数据\检索器\unidoc_legal_proposed_20260326_232021.json,10,100,0.7108,0.9575,0.9733,0.9433,0.94,469.7683,346.498,317.99
