method,question_type,count,answer_correctness
baseline_clip,causal_reasoning,12,1.0
baseline_clip,comparison,28,0.8214
baseline_clip,factual_retrieval,47,0.8298
baseline_clip,summarization,12,1.0
baseline_clip,temporal_comparison,1,1.0
baseline_ocr,causal_reasoning,12,0.0
baseline_ocr,comparison,28,0.0
baseline_ocr,factual_retrieval,47,0.0
baseline_ocr,summarization,12,0.0
baseline_ocr,temporal_comparison,1,0.0
no_rag,causal_reasoning,12,0.5
no_rag,comparison,28,0.1786
no_rag,factual_retrieval,47,0.2128
no_rag,summarization,12,0.25
no_rag,temporal_comparison,1,0.0
proposed,causal_reasoning,12,1.0
proposed,comparison,28,0.7857
proposed,factual_retrieval,47,0.8511
proposed,summarization,12,0.9167
proposed,temporal_comparison,1,1.0
