method,domain,count,answer_correctness
baseline_clip,commerce_manufacturing,8,1.0
baseline_clip,construction,10,0.6
baseline_clip,crm,16,0.9375
baseline_clip,education,9,0.6667
baseline_clip,energy,20,0.85
baseline_clip,finance,15,1.0
baseline_clip,healthcare,12,0.8333
baseline_clip,legal,10,1.0
baseline_ocr,commerce_manufacturing,8,0.25
baseline_ocr,construction,10,0.2
baseline_ocr,crm,16,0.125
baseline_ocr,education,9,0.3333
baseline_ocr,energy,20,0.15
baseline_ocr,finance,15,0.2667
baseline_ocr,healthcare,12,0.4167
baseline_ocr,legal,10,0.3
no_rag,commerce_manufacturing,8,0.25
no_rag,construction,10,0.1
no_rag,crm,16,0.25
no_rag,education,9,0.3333
no_rag,energy,20,0.1
no_rag,finance,15,0.2
no_rag,healthcare,12,0.25
no_rag,legal,10,0.6
proposed,commerce_manufacturing,8,1.0
proposed,construction,10,0.5
proposed,crm,16,0.75
proposed,education,9,1.0
proposed,energy,20,0.85
proposed,finance,15,1.0
proposed,healthcare,12,0.8333
proposed,legal,10,1.0
